epoch,train_loss,train_accuracy,val_loss,val_accuracy
0,5.042684305061415,0.0027825871143030857,5.042684305061415,0.0027825871143030857
5,0.05533283275826663,0.9873943025694855,0.05037405583284144,0.987840047800451
10,0.029765662492416824,0.9903730173696093,0.029921277819508776,0.990270692417794
15,0.02446905299514526,0.9915972877897572,0.02576822311915819,0.9912558642239195
20,0.020443989049513035,0.9927602727111289,0.020931487426035178,0.9926988630965953
25,0.018303895619619044,0.9934274297057417,0.017811635465618873,0.993637970167072
30,0.017201219463199687,0.9937771867175852,0.018466579940314722,0.9934502477105183
35,0.016387075889665724,0.9940160265370496,0.01752849299917269,0.9937075867976389
40,0.01570162961609401,0.9942064819112724,0.016237686725007822,0.9941265235503116
45,0.01492418700530889,0.9944538217008467,0.016432850684404646,0.9939179705312358
50,0.014699422064341392,0.9944622667260951,0.01500173191574133,0.9943778262273901
55,0.01431439824372875,0.9945635246117815,0.01383627243554762,0.9948063618616051
60,0.01424869859297173,0.9945538488216306,0.014658349005559694,0.9944306695546435
65,0.014377518227331056,0.994520590696824,0.014316639733523807,0.9946807847412221
70,0.014184906838520483,0.9945605081388724,0.014241591792155816,0.994559462795131
75,0.013551150002186103,0.994745848146468,0.013875994930785257,0.9946421418211988
80,0.013283229370869617,0.9948306115846626,0.013718569733224214,0.9947226932601206
85,0.013518419716026662,0.9947821886780178,0.01388805582938553,0.9946925112099103
90,0.013355145236819205,0.9948067270532676,0.015680850788643494,0.9941822861250443
95,0.01274146214594742,0.9950300394548063,0.012453370986001123,0.995166814707149
100,0.012872408813271419,0.9949553858711706,0.013125520272084933,0.9949352540596342
