epoch,train_loss,train_accuracy,val_loss,val_accuracy
0,5.002598396782736,0.0028999246153454125,5.002598396782736,0.0028999246153454125
5,0.3189288256750251,0.8939858461416839,0.30922676926677667,0.8959703169080453
10,0.25933943505421053,0.9037760101190689,0.2618081220290036,0.9035070472208564
15,0.2475548138677044,0.9056299983093412,0.24904599901541924,0.9056291802764077
20,0.23844474121992582,0.9073542555521845,0.24057412624937816,0.907170188170132
25,0.23455744169121426,0.9078359419080617,0.23412360258183432,0.9085615769085589
30,0.22285360129264467,0.9109927998636022,0.22646030696850378,0.910371631573588
35,0.23168076750204836,0.9089730048974052,0.23786811602925792,0.9075272316282005
40,0.2175472188604187,0.9123953474788237,0.22148730699877137,0.911820825459489
45,0.21335159176980703,0.9136960702010408,0.24562203413942485,0.9039914503906409
50,0.20828624587047434,0.9152959641040826,0.21221196976969542,0.9145634467018198
55,0.20459551220964922,0.9165620588755539,0.20885508587059465,0.9156360643439706
60,0.20166642986415015,0.9175891547240149,0.20665089684782675,0.9164118728798376
65,0.19914431805615807,0.9185207456933757,0.20340834160163565,0.9175764532566062
70,0.1970264238926942,0.9192947877447003,0.20187685392724658,0.9181406235638568
75,0.19522890765581996,0.9199672636492344,0.20013719131645646,0.9189227777762905
80,0.19497474576658358,0.9200826699658461,0.19972149651606105,0.918972849130449
85,0.19318346770130274,0.920699019962931,0.19860035137644091,0.9194117914767054
90,0.1918963818583581,0.9211503339174942,0.19703319451762635,0.9198660031072002
95,0.19101974373727587,0.921472638110884,0.19638695770386352,0.9200572657649658
100,0.19170558338353239,0.9212483106487225,0.19637491930167653,0.9201037181004574
